XRF000	000.xreflector.org
XRF001	xref.homepc.it
XRF002	xrf002.dstar.club
XRF003	95.110.157.83
XRF004	xlx004.kb8zgl.net
XRF005	216.16.240.236	
XRF006	80.62.20.151	
XRF007	84.232.6.94
XRF008	95.110.231.219	
XRF009	141.22.15.29	
XRF010	87.106.48.7	
XRF011	87.106.3.249	
XRF012	xrf012.papasys.com
XRF013	xrf013.vkradio.com
XRF014	xrf014.iz0rin.it
XRF015	xrf015.theapplecore.me
XRF016	xrf016.ampr.at
XRF017	87.253.159.114	
XRF018	199.167.129.166	
XRF019	xlx019.ok2it.com
XRF020	67.210.212.144	
XRF021	44.103.32.250	
XRF022	83.137.45.116	
XRF023	141.75.245.225	
XRF024	xrf024.dstar.at
XRF025	025.ham-digital.es
XRF026	139.13.100.34	
XRF027	194.116.29.78
XRF028	stn028.dstar.be
XRF029	tyrol-dstar.ddns.net
XRF030	xrf030.oe3xht.at
XRF031	83.241.141.245	
XRF032	xrf032.dstar.radom.pl
XRF033	46.226.178.81	
XRF034	78.97.200.160	
XRF035	xrf035.wa7dre.org
XRF037	185.58.193.163	
XRF038	66.6.171.228	
XRF039	185.203.118.66	
XRF040	xrf040.dyndns.org
XRF041	167.88.37.80	
XRF042	xrf042.luthienstar.fr
XRF043	xrf043.aotnet.it
XRF044	82.1.185.173	
XRF045	104.233.124.22	
XRF046	xlx.c4fm.se
XRF047	xlx047.ddns.net	
XRF048	xrf048.n5uxt.org
XRF050	104.233.126.150	
XRF051	93.186.254.219
XRF052	xrf052.dip.jp
XRF054	xrf054.metro-uhf.org
XRF055	95.110.229.195	
XRF056	xrf056.homepc.it
XRF057	xlx057.ddns.net
XRF058	xrf058.dip.jp	
XRF060	212.237.36.181	
XRF061	68.115.205.110
XRF062	xlx.maryland-dstar.net
XRF063	162.248.141.148
XRF064	xrf064.owari.biz
XRF066	xlx066.homepc.it
XRF067	xrf067.f5kav.org
XRF068	xrf068.ircddb.it
XRF069	069.opendstar.eu
XRF070	xrf070.iptime.org
XRF071	xrf.elechomebrew.com
XRF072	211.60.41.186	
XRF073	147.102.7.34	
XRF074	xrf074.dyndns.org
XRF075	xrf075.ir9bs.it
XRF076	xrf076.xreflector-jp.org
XRF077	vpngrf.webandcloud.net
XRF078	217.112.102.132
XRF079	121.162.91.94	
XRF080	jr3vh.dip.jp
XRF081	jr3vh.dip.jp
XRF082	108.21.232.21	
XRF083	108.21.232.22	
XRF085	jr1ofp.dip.jp
XRF086	203.74.132.37
XRF087	44.137.36.209
XRF088	xlx088.pa4tw.nl
XRF089	xlx089.pa4tw.nl
XRF090	46.37.185.184	
XRF095	xrf095.dip.jp
XRF098	xrf098.dip.jp
XRF099	76.71.89.114	
XRF100	xlx100.xlxreflector.org
XRF101	xlx101.xreflector.org
XRF102	206.208.56.13	
XRF103	64.137.183.222	
XRF104	xlx104.xlxreflector.org
XRF111	xrf111.dip.jp	
XRF112	112.xreflector.es
XRF113	xlx113.homepc.it
XRF114	91.121.136.94	
XRF115	reflector-xlx.hb9vd.ch
XRF116	31.185.101.211	
XRF118	xlx118.ns0.it
XRF119	149.154.158.170	
XRF120	24.43.83.140
XRF121	174.37.249.156	
XRF122	xrf.vpn4ham.com
XRF123	213.126.90.100	
XRF124	xrf124.xreflector-jp.org
XRF125	xlx125.dyndns.hu	
XRF127	pj2man.hopto.org	
XRF132	xrf132.dstar.radom.pl
XRF133	xrf133.gb7de.co.uk
XRF145	178.59.21.32
XRF146	xlx146.ddns.net
XRF147	46.41.1.127
XRF150	argentina.mmdvm.es
XRF168	xrf168.duckdns.org
XRF170	dvham.mooo.com
XRF171	121.162.91.45	
XRF185	104.167.117.71	
XRF200	xrf200.theapplecore.me
XRF204	ref204.ph0dv.nl
XRF206	193.190.240.227	
XRF208	xlx208.f5kav.org
XRF210	210.xreflector.org
XRF212	52.38.90.188	
XRF214	xlx214.sustrai.org
XRF216	74.214.25.135
XRF222	iw0red.it
XRF223	k0pra.ddns.net
XRF226	xrf226.hamnet.ro
XRF227	86.122.173.9	
XRF228	xrf228.duckdns.org
XRF230	ref.dstar.cz
XRF232	xrf232.tms-it.net
XRF235	xlx235.duckdns.org	
XRF238	xlx.brandmeister.digital	
XRF241	151.80.158.227	
XRF242	xrf242.k7edw.com	
XRF246	xlx.mkagawa.com	
XRF248	xrf248.dyndns.org
XRF250	xrf250.dstar.su
XRF252	je7zbu.jpn.ph
XRF255	xrf255.reflector.up4dar.de
XRF261	44.144.0.23	
XRF262	xrf262.reflector.up4dar.de
XRF264	52.2.131.118
XRF265	51.255.43.60
XRF270	xrf270.epf.lu
XRF275	xrf275.dyndns.org	
XRF277	xlx277.dyndns.org	
XRF291	xrf291.dip.jp	
XRF295	104.167.96.2	
XRF298	xrf298.dip.jp	
XRF299	125.236.227.43	
XRF300	300.xreflector.org
XRF302	xlx302.hopto.org
XRF307	xlx307.ddns.net
XRF310	server1.xrefl.net
XRF311	xrf311.ernix.de
XRF312	xrf312.xrefl.net
XRF313	xlx313.xrefl.net
XRF317	xrf317.crossroadsdmr.org
XRF318	xrf318.xrefl.net
XRF321	31.207.110.231	
XRF332	188.213.168.99
XRF333	xrf333.f1smf.com
XRF334	199.119.98.174
XRF336	xrf336.mawcg.org
XRF339	xlx339.avarc.ca
XRF345	104.167.114.4
XRF350	350.dstarspain.es
XRF353	94.173.206.53	
XRF357	xlx357.w6kd.com
XRF365	xrf365.dip.jp
XRF370	xrf370.selfip.com
XRF373	xrf373.dip.jp
XRF382	xrf382.dip.jp
XRF387	195.130.59.77
